City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Husavik,IS,66.0449,-17.3389,29.46,79,100,5.73,overcast clouds
80,Vila,PT,42.0304,-8.1588,41.88,91,100,2.21,overcast clouds
81,Gorno-Chuyskiy,RU,50.6789,156.125,31.37,76,36,15.46,scattered clouds
82,Salalah,OM,17.0151,54.0924,71.69,60,0,5.75,clear sky
83,Codrington,AU,-38.2667,141.9667,60.98,56,97,20.4,overcast clouds
84,New Norfolk,AU,-23.7,133.8833,78.35,36,37,10.36,scattered clouds
85,Sao Miguel Do Araguaia,BR,-9.6658,-35.7353,76.44,94,75,2.3,broken clouds
86,Port Blair,IN,23.1167,83.2,91.51,8,9,4.76,clear sky
87,Ribeira Grande,PT,39.05,-27.9833,59.86,90,98,6.71,overcast clouds
88,Leningradskiy,RU,50.6789,156.125,31.37,76,36,15.46,scattered clouds
89,Peringat,MY,6.0333,102.2833,85.62,69,96,3.69,overcast clouds
90,Mys Shmidta,RU,50.6789,156.125,31.37,76,36,15.46,scattered clouds
91,Cabo San Lucas,CL,-35.3333,-72.4167,54.3,53,0,6.89,clear sky
92,Chuy,UY,-33.6971,-53.4616,52.57,67,22,10.87,few clouds
93,Luderitz,NA,-26.6481,15.1594,61.56,66,0,14.34,clear sky
94,Huarmey,PE,-10.0681,-78.1522,70.66,84,100,10.6,overcast clouds
95,Pevek,RU,50.6789,156.125,31.37,76,36,15.46,scattered clouds
96,Ouango,CF,4.3133,22.5552,74.77,70,72,2.53,broken clouds
97,Faya,ES,39.8885,4.2658,50.56,93,0,3.44,clear sky
98,Qaqortoq,GL,69.2167,-51.1,19.42,93,100,3.44,overcast clouds
99,Grindavik,IS,66.0449,-17.3389,29.46,79,100,5.73,overcast clouds
100,Kilindoni,TZ,-7.9139,39.6668,77.67,86,93,8.43,moderate rain
101,Amderma,RU,50.6789,156.125,31.37,76,36,15.46,scattered clouds
102,Sitka,US,19.7297,-155.09,78.53,84,100,6.91,very heavy rain
103,Carnarvon,ZA,-34.5322,20.0403,59.61,82,100,3.22,overcast clouds
104,Srednekolymsk,RU,50.6789,156.125,31.37,76,36,15.46,scattered clouds
105,Katherine,AU,-23.7,133.8833,78.35,36,37,10.36,scattered clouds
106,Ohara,JP,24.8,125.2833,75.13,87,0,7.18,clear sky
107,Puerto Ayora,VE,7.7669,-72.225,68.18,67,100,1.25,overcast clouds
108,Acapulco,CL,-35.3333,-72.4167,54.3,53,0,6.89,clear sky
109,Bethel,US,19.7297,-155.09,78.53,84,100,6.91,very heavy rain
110,Nizhniy Odes,RU,50.6789,156.125,31.37,76,36,15.46,scattered clouds
111,Karaul,RU,50.6789,156.125,31.37,76,36,15.46,scattered clouds
112,Galveston,US,19.7297,-155.09,78.53,84,100,6.91,very heavy rain
113,Takoradi,GH,4.8845,-1.7554,80.22,88,80,7.23,broken clouds
114,Kahului,US,19.7297,-155.09,78.53,84,100,6.91,very heavy rain
115,San Andres,CO,12.5847,-81.7006,80.62,78,40,10.36,scattered clouds
116,Cap Malheureux,MU,-20.5167,57.5167,77.67,76,87,21.72,overcast clouds
117,Esperance,AU,-23.7,133.8833,78.35,36,37,10.36,scattered clouds
118,Castro,CL,-53.15,-70.9167,50.11,57,75,11.5,broken clouds
119,Akureyri,IS,66.0449,-17.3389,29.46,79,100,5.73,overcast clouds
120,Hasaki,JP,24.8,125.2833,75.13,87,0,7.18,clear sky
121,Cabedelo,BR,-9.6658,-35.7353,76.44,94,75,2.3,broken clouds
122,Nikolskoye,RU,50.6789,156.125,31.37,76,36,15.46,scattered clouds
123,Tupi Paulista,BR,-9.6658,-35.7353,76.44,94,75,2.3,broken clouds
124,Saint-Francois,FR,46.4154,3.9054,47.68,88,100,4.61,overcast clouds
125,Bulgan,MN,48.8125,103.5347,31.98,35,100,4.36,overcast clouds
126,Vao,NC,-22.6667,167.4833,78.78,85,8,16.17,clear sky
127,Vysokogornyy,RU,50.6789,156.125,31.37,76,36,15.46,scattered clouds
128,Kapaa,US,19.7297,-155.09,78.53,84,100,6.91,very heavy rain
129,Fayetteville,US,19.7297,-155.09,78.53,84,100,6.91,very heavy rain
130,Praia,PT,32.65,-17.0667,63.05,79,0,3.11,clear sky
131,Kloulklubed,TL,-8.9266,125.4092,72.61,62,95,1.45,overcast clouds
132,Nantucket,US,19.7297,-155.09,78.53,84,100,6.91,very heavy rain
